consumer             소비자
commerce             상업, 무역
administer           관리하다. 지배하다.
sale                 판매. 매상
advertise            광고하다.
advertisement        광고
consume              소비하다.
currency             통화, 통용, 유통
circulate            순환하다.
circulation          순환, 발행부수
periodical           정기 간행물, 잡지, 정기적인
invest               투자하다.
investment           투자
warrant              보증하다. 근거, 보증
transact             (업무,교섭 등을) 집행하다.
profit               이익, 이익을 내다
deficit              부족, 적자
bankrupt             파산한
unemployment         실업, 실적
recession            경기 후퇴
depression           불경기, 우울
export               수출, 수출하다.
import               수입, 수입하다.
friction             마찰
sanction             인기, 제재
agent                대리인
judicial             사법의
legislation          입법, 법률
decree               법령, 판결, 정하다. 판결하다.
judge                판가름하다. 재판하다. 재판관
trial                재판, 시험
legitimate           합법의
legal                합법의, 법률의
illegal              불법의, 비합법의
violate              어기다, 깨다
crime                죄, 범죄
juvenile             청소년의
affair               사건, 일
murderer             살인자
criminal             법인, 범죄의
prisoner             죄수, 포로
detain               억류하다. 붙들다.
appeal               호소, 매력, 호소하다.
suit                 소송, 한 벌, 적합하다. 어울리다.
prosecution          기소, 실행, 수행
attest               입증하다.
client               (변호사 등의) 의뢰인, 고객
summon               (법원 등에) 출두를 명하다, 소환하다.
witness              증인, 목격자, 목격하다.
testify              증언하다. 입증하다.
testimony            증언, 증거, 증명
evidence             증거
guilty               유죄의
heir                 상속인
battle               
army                 
action               
